Id,Category
1,1
2,2
3,1
4,3
5,1
6,1
7,1
8,2
9,5
10,7
11,2
12,2
13,2
14,1
15,1
16,7
17,7
18,7
19,7
20,3
21,4
22,1
23,1
24,3
25,1
26,6
27,2
28,5
29,2
30,1
31,1
32,7
33,1
34,2
35,2
36,2
37,5
38,2
39,1
40,6
41,2
42,3
43,1
44,2
45,5
46,4
47,1
48,3
49,6
50,1
51,3
52,3
53,7
54,1
55,1
56,2
57,3
58,3
59,7
60,1
61,3
62,2
63,5
64,2
65,5
66,3
67,2
68,3
69,1
70,5
71,3
72,1
73,1
74,1
75,4
76,5
77,4
78,1
79,5
80,3
81,1
82,3
83,4
84,1
85,2
86,1
87,4
88,2
89,1
90,1
91,3
92,2
93,1
94,6
95,1
96,1
97,3
98,5
99,3
100,1
101,4
102,1
103,4
104,6
105,5
106,4
107,1
108,2
109,1
110,2
111,1
112,1
113,3
114,1
115,1
116,5
117,5
118,4
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,3
127,7
128,3
129,3
130,6
131,1
132,3
133,1
134,6
135,5
136,2
137,2
138,2
139,5
140,4
141,1
142,1
143,2
144,3
145,1
146,1
147,1
148,2
149,2
150,2
151,2
152,2
153,2
154,5
155,2
156,1
157,4
158,5
159,3
160,1
161,5
162,1
163,1
164,1
165,1
166,4
167,3
168,2
169,3
170,3
171,6
172,4
173,1
174,1
175,2
176,1
177,2
178,1
179,2
180,3
181,3
182,2
183,4
184,3
185,1
186,1
187,1
188,1
189,1
190,2
191,1
192,3
193,1
194,7
195,5
196,4
197,4
198,2
199,5
200,2
201,1
202,1
203,4
204,1
205,2
206,2
207,1
208,3
209,3
210,1
211,6
212,6
213,3
214,1
215,5
216,1
217,5
218,1
219,1
220,2
221,1
222,3
223,7
224,1
225,7
226,4
227,5
228,2
229,1
230,1
231,5
232,1
233,3
234,1
235,3
236,3
237,1
238,3
239,2
240,2
241,5
242,5
243,3
244,4
245,5
246,6
247,2
248,1
249,3
250,2
251,3
252,3
253,1
254,1
255,1
256,2
257,3
258,2
259,2
260,1
261,1
262,7
263,1
264,2
265,1
266,7
267,1
268,1
269,6
270,1
271,5
272,1
273,7
274,1
275,5
276,4
277,1
278,1
279,7
280,1
281,1
282,3
283,2
284,7
285,6
286,3
287,4
288,4
289,4
290,1
291,1
292,1
293,1
294,6
295,2
296,4
297,4
298,1
299,2
300,2
301,2
302,1
303,6
304,1
305,3
306,3
307,1
308,4
309,1
310,2
311,1
312,4
313,1
314,3
315,6
316,2
317,3
318,1
319,7
320,1
321,1
322,4
323,1
324,4
325,1
326,1
327,2
328,1
329,2
330,2
331,4
332,2
333,1
334,1
335,2
336,3
337,3
338,1
339,4
340,1
341,2
342,2
343,1
344,1
345,5
346,2
347,1
348,5
349,2
350,2
351,4
352,1
353,1
354,2
355,2
356,7
357,3
358,1
359,5
360,1
361,4
362,2
363,4
364,4
365,3
366,1
367,3
368,1
369,4
370,2
371,5
372,7
373,5
374,1
375,2
376,1
377,2
378,6
379,3
380,4
381,6
382,3
383,1
384,5
385,1
386,3
387,1
388,2
389,2
390,3
391,1
392,1
393,1
394,2
395,2
396,3
397,1
398,3
399,3
400,2
401,6
402,3
403,4
404,2
405,2
406,4
407,4
408,6
409,2
410,2
411,5
412,5
413,2
414,2
415,4
416,2
417,1
418,1
419,1
420,4
421,1
422,3
423,2
424,3
425,1
426,4
427,4
428,7
429,1
430,3
431,4
432,2
433,1
434,3
435,2
436,1
437,1
438,2
439,7
440,2
441,2
442,2
443,4
444,1
445,1
446,2
447,7
448,3
449,6
450,1
451,3
452,2
453,4
454,4
455,2
456,6
457,5
458,2
459,2
460,1
461,1
462,6
463,4
464,6
465,1
466,1
467,1
468,1
469,3
470,7
471,4
472,5
473,3
474,1
475,1
476,2
477,3
478,4
479,1
480,3
481,2
482,2
483,4
484,2
485,6
486,4
487,1
488,4
489,1
490,4
491,1
492,3
493,1
494,2
495,1
496,7
497,4
498,1
499,1
500,7
501,1
502,2
503,2
504,5
505,1
506,4
507,1
508,1
509,1
510,4
511,2
512,4
513,1
514,2
515,1
516,1
517,4
518,7
519,3
520,1
521,3
522,3
523,3
524,3
525,2
526,2
527,1
528,5
529,2
530,2
531,2
532,4
533,3
534,2
535,1
536,3
537,5
538,1
539,2
540,2
541,2
542,1
543,1
544,1
545,3
546,4
547,7
548,7
549,2
550,5
551,1
552,2
553,3
554,1
555,4
556,1
557,1
558,1
559,7
560,6
561,1
562,1
563,2
564,3
