Id,Category
1,1
2,2
3,1
4,3
5,1
6,3
7,1
8,2
9,5
10,7
11,2
12,2
13,3
14,4
15,1
16,7
17,3
18,7
19,3
20,1
21,1
22,1
23,1
24,1
25,1
26,6
27,2
28,5
29,2
30,1
31,1
32,7
33,1
34,2
35,2
36,2
37,5
38,2
39,1
40,6
41,2
42,1
43,7
44,1
45,5
46,4
47,1
48,1
49,5
50,1
51,3
52,1
53,1
54,1
55,3
56,2
57,1
58,1
59,1
60,1
61,3
62,1
63,1
64,2
65,5
66,3
67,2
68,7
69,1
70,5
71,3
72,1
73,1
74,1
75,4
76,5
77,4
78,1
79,5
80,1
81,1
82,3
83,4
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,3
92,2
93,1
94,3
95,1
96,1
97,3
98,5
99,3
100,1
101,1
102,1
103,4
104,6
105,1
106,4
107,3
108,1
109,1
110,2
111,1
112,1
113,3
114,1
115,1
116,5
117,5
118,1
119,1
120,4
121,4
122,1
123,1
124,1
125,1
126,6
127,7
128,1
129,3
130,6
131,1
132,3
133,1
134,6
135,5
136,2
137,2
138,2
139,5
140,1
141,1
142,1
143,1
144,3
145,1
146,1
147,1
148,4
149,2
150,2
151,5
152,2
153,2
154,6
155,2
156,1
157,4
158,1
159,3
160,1
161,1
162,1
163,1
164,1
165,1
166,4
167,3
168,1
169,3
170,3
171,5
172,4
173,1
174,1
175,2
176,1
177,3
178,1
179,2
180,1
181,1
182,1
183,4
184,1
185,1
186,2
187,1
188,1
189,4
190,2
191,1
192,1
193,1
194,2
195,5
196,4
197,4
198,2
199,5
200,2
201,1
202,1
203,4
204,1
205,7
206,1
207,1
208,3
209,3
210,1
211,6
212,1
213,1
214,1
215,1
216,1
217,5
218,1
219,1
220,2
221,1
222,1
223,7
224,1
225,1
226,7
227,5
228,2
229,1
230,1
231,5
232,1
233,3
234,1
235,1
236,3
237,1
238,3
239,1
240,1
241,5
242,6
243,3
244,4
245,5
246,1
247,1
248,1
249,3
250,2
251,3
252,1
253,3
254,1
255,1
256,2
257,3
258,2
259,2
260,1
261,6
262,7
263,1
264,1
265,1
266,1
267,1
268,1
269,6
270,3
271,1
272,5
273,6
274,1
275,5
276,4
277,1
278,1
279,1
280,1
281,3
282,3
283,2
284,1
285,6
286,4
287,4
288,4
289,4
290,1
291,1
292,1
293,1
294,1
295,2
296,1
297,1
298,1
299,2
300,2
301,2
302,1
303,6
304,1
305,3
306,3
307,1
308,4
309,2
310,2
311,1
312,4
313,1
314,3
315,6
316,2
317,3
318,1
319,1
320,1
321,1
322,4
323,1
324,4
325,3
326,1
327,2
328,1
329,2
330,2
331,4
332,2
333,3
334,1
335,2
336,3
337,3
338,1
339,4
340,1
341,2
342,2
343,1
344,2
345,5
346,2
347,1
348,7
349,1
350,2
351,4
352,1
353,1
354,1
355,2
356,7
357,3
358,1
359,1
360,1
361,2
362,2
363,4
364,1
365,3
366,6
367,3
368,1
369,1
370,2
371,1
372,7
373,5
374,1
375,2
376,3
377,2
378,6
379,3
380,4
381,1
382,3
383,1
384,5
385,7
386,3
387,1
388,1
389,1
390,3
391,1
392,1
393,1
394,3
395,1
396,3
397,3
398,3
399,3
400,2
401,6
402,7
403,4
404,2
405,2
406,4
407,4
408,6
409,2
410,2
411,1
412,5
413,1
414,2
415,4
416,1
417,1
418,1
419,1
420,4
421,1
422,3
423,2
424,3
425,1
426,4
427,4
428,7
429,5
430,3
431,3
432,1
433,1
434,3
435,2
436,1
437,1
438,5
439,7
440,2
441,2
442,1
443,4
444,6
445,1
446,2
447,7
448,3
449,1
450,4
451,3
452,2
453,4
454,4
455,2
456,6
457,1
458,2
459,2
460,1
461,6
462,4
463,6
464,1
465,1
466,1
467,1
468,1
469,3
470,1
471,3
472,5
473,3
474,1
475,7
476,2
477,3
478,4
479,5
480,3
481,2
482,2
483,4
484,2
485,7
486,4
487,7
488,4
489,1
490,4
491,1
492,3
493,1
494,1
495,1
496,7
497,4
498,3
499,1
500,1
501,1
502,1
503,2
504,1
505,1
506,4
507,1
508,1
509,1
510,4
511,1
512,4
513,3
514,2
515,1
516,1
517,4
518,6
519,3
520,1
521,3
522,6
523,3
524,3
525,2
526,1
527,1
528,5
529,2
530,2
531,2
532,4
533,3
534,2
535,1
536,3
537,3
538,1
539,2
540,2
541,2
542,1
543,1
544,6
545,1
546,4
547,1
548,7
549,2
550,5
551,1
552,2
553,3
554,1
555,4
556,1
557,1
558,1
559,5
560,4
561,1
562,1
563,2
564,3
